"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","983","Login with empty credentials","webkit","Tue Apr 15 11:52:27 UTC 2025","passed","Tue Apr 15 11:52:28 UTC 2025","Login tests","login.spec.ts","",""
"","1494","Login with invalid credentials","webkit","Tue Apr 15 11:52:25 UTC 2025","passed","Tue Apr 15 11:52:27 UTC 2025","Login tests","login.spec.ts","",""
"","1413","Login with valid credentials","firefox","Tue Apr 15 11:52:17 UTC 2025","passed","Tue Apr 15 11:52:19 UTC 2025","Login tests","login.spec.ts","",""
"","1328","Login with invalid credentials","firefox","Tue Apr 15 11:52:19 UTC 2025","passed","Tue Apr 15 11:52:20 UTC 2025","Login tests","login.spec.ts","",""
"","1631","Login with valid credentials","webkit","Tue Apr 15 11:52:24 UTC 2025","passed","Tue Apr 15 11:52:25 UTC 2025","Login tests","login.spec.ts","",""
"","2244","Logout","chromium","Tue Apr 15 11:52:14 UTC 2025","passed","Tue Apr 15 11:52:17 UTC 2025","Logout test","logout.spec.ts","",""
"","1309","Login with invalid credentials","chromium","Tue Apr 15 11:52:12 UTC 2025","passed","Tue Apr 15 11:52:13 UTC 2025","Login tests","login.spec.ts","",""
"","1870","Logout","firefox","Tue Apr 15 11:52:21 UTC 2025","passed","Tue Apr 15 11:52:23 UTC 2025","Logout test","logout.spec.ts","",""
"","832","Login with empty credentials","firefox","Tue Apr 15 11:52:20 UTC 2025","passed","Tue Apr 15 11:52:21 UTC 2025","Login tests","login.spec.ts","",""
"","1523","Login with valid credentials","chromium","Tue Apr 15 11:52:10 UTC 2025","passed","Tue Apr 15 11:52:12 UTC 2025","Login tests","login.spec.ts","",""
"","893","Login with empty credentials","chromium","Tue Apr 15 11:52:14 UTC 2025","passed","Tue Apr 15 11:52:14 UTC 2025","Login tests","login.spec.ts","",""
"","2316","Logout","webkit","Tue Apr 15 11:52:28 UTC 2025","passed","Tue Apr 15 11:52:30 UTC 2025","Logout test","logout.spec.ts","",""
